00:03:52:000:0 out_port [4, 0.923891]
00:03:53:000:0 out_port [4, 0.787344]
00:03:54:000:0 out_port [4, 0.918323]
00:03:55:000:0 out_port [4, 1]
00:03:56:000:0 out_port [4, 0.847881]
00:03:57:000:0 out_port [4, 0.693804]
00:03:58:000:0 out_port [4, 0.565221]
00:03:59:000:0 out_port [4, 0.689319]
00:04:00:000:0 out_port [4, 0.807971]
00:04:01:000:0 out_port [4, 0.930223]
00:04:02:000:0 out_port [4, 0.779948]
00:04:03:000:0 out_port [4, 0.911234]
00:04:04:000:0 out_port [4, 1]
00:04:05:000:0 out_port [4, 1]
00:04:06:000:0 out_port [4, 1]
00:04:07:000:0 out_port [4, 1]
00:04:08:000:0 out_port [4, 0.854685]
00:04:09:000:0 out_port [4, 0.706993]
00:04:10:000:0 out_port [4, 0.575738]
00:04:11:000:0 out_port [4, 0.448859]
00:04:12:000:0 out_port [4, 0.578508]
00:04:13:000:0 out_port [4, 0.699785]
00:04:14:000:0 out_port [4, 0.820972]
00:04:15:000:0 out_port [4, 0.695456]
00:04:16:000:0 out_port [4, 0.819192]
00:04:17:000:0 out_port [4, 0.936721]
00:04:18:000:0 out_port [4, 1]
00:04:19:000:0 out_port [4, 0.842626]
00:04:20:000:0 out_port [4, 0.964442]
00:04:21:000:0 out_port [4, 1]
00:04:22:000:0 out_port [4, 0.857573]
00:04:23:000:0 out_port [4, 0.723518]
00:04:24:000:0 out_port [4, 0.602632]
00:04:25:000:0 out_port [4, 0.466858]
00:04:26:000:0 out_port [4, 0.600977]
00:04:27:000:0 out_port [4, 0.456886]
00:04:28:000:0 out_port [4, 0.324367]
00:04:29:000:0 out_port [4, 0.456588]
00:04:30:000:0 out_port [4, 0.591549]
00:04:31:000:0 out_port [4, 0.450046]
00:04:32:000:0 out_port [4, 0.321994]
00:04:33:000:0 out_port [4, 0.44345]
00:04:34:000:0 out_port [4, 0.567475]
00:04:35:000:0 out_port [4, 0.424773]
00:04:36:000:0 out_port [4, 0.291955]
00:04:37:000:0 out_port [4, 0.428342]
00:04:38:000:0 out_port [4, 0.290283]
00:04:39:000:0 out_port [4, 0.16903]
00:04:40:000:0 out_port [4, 0.0545456]
00:04:41:000:0 out_port [4, 0]
00:04:42:000:0 out_port [4, 0.156037]
00:04:43:000:0 out_port [4, 0.280532]
00:04:44:000:0 out_port [4, 0.408638]
00:04:45:000:0 out_port [4, 0.268447]
00:04:46:000:0 out_port [4, 0.388604]
00:04:47:000:0 out_port [4, 0.244805]
00:04:48:000:0 out_port [4, 0.367518]
00:04:49:000:0 out_port [4, 0.501903]
00:04:50:000:0 out_port [4, 0.626098]
00:04:51:000:0 out_port [4, 0.484144]
00:04:52:000:0 out_port [4, 0.62907]
00:04:53:000:0 out_port [4, 0.762473]
00:04:54:000:0 out_port [4, 0.628269]
00:04:55:000:0 out_port [4, 0.763919]
00:04:56:000:0 out_port [4, 0.625627]
00:04:57:000:0 out_port [4, 0.747514]
00:04:58:000:0 out_port [4, 0.620938]
00:04:59:000:0 out_port [4, 0.757075]
00:05:00:000:0 out_port [4, 0.603593]
00:05:01:000:0 out_port [4, 0.474654]
00:05:02:000:0 out_port [4, 0.330731]
00:05:03:000:0 out_port [4, 0.201742]
00:05:04:000:0 out_port [4, 0.335317]
00:05:05:000:0 out_port [4, 0.473783]
00:05:06:000:0 out_port [4, 0.353856]
00:05:07:000:0 out_port [4, 0.216108]
00:05:08:000:0 out_port [4, 0.353157]
00:05:09:000:0 out_port [4, 0.231289]
00:05:10:000:0 out_port [4, 0.11675]
00:05:11:000:0 out_port [4, 0.262843]
00:05:12:000:0 out_port [4, 0.150384]
00:05:13:000:0 out_port [4, 0.0247512]
00:05:14:000:0 out_port [4, 0.170919]
00:05:15:000:0 out_port [4, 0.30057]
00:05:16:000:0 out_port [4, 0.156924]
00:05:17:000:0 out_port [4, 0.295653]
00:05:18:000:0 out_port [4, 0.431105]
00:05:19:000:0 out_port [4, 0.548901]
00:05:20:000:0 out_port [4, 0.672609]
00:05:21:000:0 out_port [4, 0.525025]
00:05:22:000:0 out_port [4, 0.387406]
00:05:23:000:0 out_port [4, 0.270789]
00:05:24:000:0 out_port [4, 0.147574]
00:05:25:000:0 out_port [4, 0.298775]
00:05:26:000:0 out_port [4, 0.183267]
00:05:27:000:0 out_port [4, 0.0502907]
00:05:28:000:0 out_port [4, 0]
00:05:29:000:0 out_port [4, 0.147602]
00:05:30:000:0 out_port [4, 0.291889]
00:05:31:000:0 out_port [4, 0.166731]
00:05:32:000:0 out_port [4, 0.307716]
00:05:33:000:0 out_port [4, 0.444437]
00:05:34:000:0 out_port [4, 0.582428]
00:05:35:000:0 out_port [4, 0.44032]
00:05:36:000:0 out_port [4, 0.577748]
00:05:37:000:0 out_port [4, 0.697369]
00:05:38:000:0 out_port [4, 0.807384]
00:05:39:000:0 out_port [4, 0.935255]
00:05:40:000:0 out_port [4, 0.802415]
00:05:41:000:0 out_port [4, 0.669038]
00:05:42:000:0 out_port [4, 0.799299]
00:05:43:000:0 out_port [4, 0.919401]
00:05:44:000:0 out_port [4, 0.762531]
00:05:45:000:0 out_port [4, 0.619753]
00:05:46:000:0 out_port [4, 0.744803]
00:05:47:000:0 out_port [4, 0.594036]
00:05:48:000:0 out_port [4, 0.71876]
00:05:49:000:0 out_port [4, 0.584765]
00:05:50:000:0 out_port [4, 0.710364]
00:05:51:000:0 out_port [4, 0.56743]
00:05:52:000:0 out_port [4, 0.440149]
00:05:53:000:0 out_port [4, 0.582687]
00:05:54:000:0 out_port [4, 0.704155]
00:05:55:000:0 out_port [4, 0.557238]
00:05:56:000:0 out_port [4, 0.692314]
00:05:57:000:0 out_port [4, 0.826016]
00:05:58:000:0 out_port [4, 0.945379]
00:05:59:000:0 out_port [4, 1]
00:06:00:000:0 out_port [4, 0.873346]
00:06:01:000:0 out_port [4, 0.72218]
00:06:02:000:0 out_port [4, 0.846638]
00:06:03:000:0 out_port [4, 0.701828]
00:06:04:000:0 out_port [4, 0.817074]
00:06:05:000:0 out_port [4, 0.676802]
00:06:06:000:0 out_port [4, 0.81001]
00:06:07:000:0 out_port [4, 0.935634]
00:06:08:000:0 out_port [4, 1]
00:06:09:000:0 out_port [4, 0.844863]
00:06:10:000:0 out_port [4, 0.969612]
00:06:11:000:0 out_port [4, 1]
00:06:12:000:0 out_port [4, 1]
00:06:13:000:0 out_port [4, 0.860102]
00:06:14:000:0 out_port [4, 0.716887]
00:06:15:000:0 out_port [4, 0.570562]
00:06:16:000:0 out_port [4, 0.709751]
00:06:17:000:0 out_port [4, 0.838922]
00:06:18:000:0 out_port [4, 0.965893]
00:06:19:000:0 out_port [4, 1]
00:06:20:000:0 out_port [4, 0.85231]
00:06:21:000:0 out_port [4, 0.982461]
00:06:22:000:0 out_port [4, 0.839107]
00:06:23:000:0 out_port [4, 0.700243]
00:06:24:000:0 out_port [4, 0.560332]
00:06:25:000:0 out_port [4, 0.699881]
00:06:26:000:0 out_port [4, 0.818466]
00:06:27:000:0 out_port [4, 0.683005]
00:06:28:000:0 out_port [4, 0.816912]
00:06:29:000:0 out_port [4, 0.691291]
00:06:30:000:0 out_port [4, 0.546286]
00:06:31:000:0 out_port [4, 0.682065]
00:06:32:000:0 out_port [4, 0.804588]
00:06:33:000:0 out_port [4, 0.933301]
00:06:34:000:0 out_port [4, 0.804776]
00:06:35:000:0 out_port [4, 0.667996]
00:06:36:000:0 out_port [4, 0.804835]
00:06:37:000:0 out_port [4, 0.676486]
00:06:38:000:0 out_port [4, 0.544023]
00:06:39:000:0 out_port [4, 0.418292]
00:06:40:000:0 out_port [4, 0.298412]
00:06:41:000:0 out_port [4, 0.179279]
00:06:42:000:0 out_port [4, 0.317203]
00:06:43:000:0 out_port [4, 0.448875]
00:06:44:000:0 out_port [4, 0.57757]
00:06:45:000:0 out_port [4, 0.696375]
00:06:46:000:0 out_port [4, 0.56822]
00:06:47:000:0 out_port [4, 0.701813]
00:06:48:000:0 out_port [4, 0.816677]
00:06:49:000:0 out_port [4, 0.934002]
00:06:50:000:0 out_port [4, 1]
00:06:51:000:0 out_port [4, 1]
00:06:52:000:0 out_port [4, 0.857485]
00:06:53:000:0 out_port [4, 0.709398]
00:06:54:000:0 out_port [4, 0.819675]
00:06:55:000:0 out_port [4, 0.67422]
00:06:56:000:0 out_port [4, 0.53191]
00:06:57:000:0 out_port [4, 0.657837]
00:06:58:000:0 out_port [4, 0.793243]
00:06:59:000:0 out_port [4, 0.656462]
00:07:00:000:0 out_port [4, 0.782202]
00:07:01:000:0 out_port [4, 0.643785]
00:07:02:000:0 out_port [4, 0.768344]
00:07:03:000:0 out_port [4, 0.629897]
00:07:04:000:0 out_port [4, 0.755337]
00:07:05:000:0 out_port [4, 0.870577]
00:07:06:000:0 out_port [4, 0.984915]
00:07:07:000:0 out_port [4, 0.852456]
00:07:08:000:0 out_port [4, 0.978643]
00:07:09:000:0 out_port [4, 0.837842]
00:07:10:000:0 out_port [4, 0.696947]
00:07:11:000:0 out_port [4, 0.548392]
00:07:12:000:0 out_port [4, 0.42235]
00:07:13:000:0 out_port [4, 0.538391]
00:07:14:000:0 out_port [4, 0.662541]
00:07:15:000:0 out_port [4, 0.803281]
00:07:16:000:0 out_port [4, 0.936166]
00:07:17:000:0 out_port [4, 1]
00:07:18:000:0 out_port [4, 1]
00:07:19:000:0 out_port [4, 0.858388]
00:07:20:000:0 out_port [4, 0.966625]
00:07:21:000:0 out_port [4, 0.818745]
00:07:22:000:0 out_port [4, 0.69137]
00:07:23:000:0 out_port [4, 0.814426]
00:07:24:000:0 out_port [4, 0.924345]
00:07:25:000:0 out_port [4, 1]
00:07:26:000:0 out_port [4, 1]
00:07:27:000:0 out_port [4, 0.857308]
00:07:28:000:0 out_port [4, 0.704951]
00:07:29:000:0 out_port [4, 0.562793]
00:07:30:000:0 out_port [4, 0.43039]
00:07:31:000:0 out_port [4, 0.573786]
00:07:32:000:0 out_port [4, 0.429695]
00:07:33:000:0 out_port [4, 0.561046]
00:07:34:000:0 out_port [4, 0.687887]
00:07:35:000:0 out_port [4, 0.56229]
00:07:36:000:0 out_port [4, 0.425408]
00:07:37:000:0 out_port [4, 0.29834]
00:07:38:000:0 out_port [4, 0.169035]
00:07:39:000:0 out_port [4, 0.054762]
00:07:40:000:0 out_port [4, 0]
00:07:41:000:0 out_port [4, 0.132676]
00:07:42:000:0 out_port [4, 0.277551]
00:07:43:000:0 out_port [4, 0.419262]
00:07:44:000:0 out_port [4, 0.549135]
00:07:45:000:0 out_port [4, 0.400694]
00:07:46:000:0 out_port [4, 0.274041]
00:07:47:000:0 out_port [4, 0.406967]
00:07:48:000:0 out_port [4, 0.28392]
00:07:49:000:0 out_port [4, 0.431699]
00:07:50:000:0 out_port [4, 0.302263]
00:07:51:000:0 out_port [4, 0.179722]
00:07:52:000:0 out_port [4, 0.0623796]
00:07:53:000:0 out_port [4, 0.208975]
00:07:54:000:0 out_port [4, 0.084433]
00:07:55:000:0 out_port [4, 0.22112]
00:07:56:000:0 out_port [4, 0.36088]
00:07:57:000:0 out_port [4, 0.499784]
00:07:58:000:0 out_port [4, 0.637043]
00:07:59:000:0 out_port [4, 0.757672]
00:08:00:000:0 out_port [4, 0.625219]
00:08:01:000:0 out_port [4, 0.497011]
00:08:02:000:0 out_port [4, 0.3716]
00:08:03:000:0 out_port [4, 0.23646]
00:08:04:000:0 out_port [4, 0.375448]
00:08:05:000:0 out_port [4, 0.232307]
00:08:06:000:0 out_port [4, 0.0968567]
00:08:07:000:0 out_port [4, 0]
00:08:08:000:0 out_port [4, 0]
00:08:09:000:0 out_port [4, 0.147584]
00:08:10:000:0 out_port [4, 0.0128105]
00:08:11:000:0 out_port [4, 0]
00:08:12:000:0 out_port [4, 0]
00:08:13:000:0 out_port [4, 0.151788]
00:08:14:000:0 out_port [4, 0.281913]
00:08:15:000:0 out_port [4, 0.150427]
00:08:16:000:0 out_port [4, 0.0206626]
00:08:17:000:0 out_port [4, 0.153706]
00:08:18:000:0 out_port [4, 0.29961]
00:08:19:000:0 out_port [4, 0.434769]
00:08:20:000:0 out_port [4, 0.56433]
00:08:21:000:0 out_port [4, 0.688294]
00:08:22:000:0 out_port [4, 0.811716]
00:08:23:000:0 out_port [4, 0.916982]
00:08:24:000:0 out_port [4, 0.776482]
00:08:25:000:0 out_port [4, 0.632804]
00:08:26:000:0 out_port [4, 0.483678]
00:08:27:000:0 out_port [4, 0.36951]
00:08:28:000:0 out_port [4, 0.236563]
00:08:29:000:0 out_port [4, 0.384703]
00:08:30:000:0 out_port [4, 0.523196]
00:08:31:000:0 out_port [4, 0.39952]
00:08:32:000:0 out_port [4, 0.265644]
00:08:33:000:0 out_port [4, 0.143112]
00:08:34:000:0 out_port [4, 0.0257327]
00:08:35:000:0 out_port [4, 0.154578]
00:08:36:000:0 out_port [4, 0.0243503]
00:08:37:000:0 out_port [4, 0.163607]
00:08:38:000:0 out_port [4, 0.308383]
00:08:39:000:0 out_port [4, 0.180028]
00:08:40:000:0 out_port [4, 0.310319]
00:08:41:000:0 out_port [4, 0.434549]
00:08:42:000:0 out_port [4, 0.296773]
00:08:43:000:0 out_port [4, 0.173804]
00:08:44:000:0 out_port [4, 0.304239]
00:08:45:000:0 out_port [4, 0.44126]
00:08:46:000:0 out_port [4, 0.313855]
00:08:47:000:0 out_port [4, 0.18518]
00:08:48:000:0 out_port [4, 0.0638571]
00:08:49:000:0 out_port [4, 0.189675]
00:08:50:000:0 out_port [4, 0.32624]
00:08:51:000:0 out_port [4, 0.208295]
00:08:52:000:0 out_port [4, 0.0929501]
00:08:53:000:0 out_port [4, 0.238035]
00:08:54:000:0 out_port [4, 0.371327]
00:08:55:000:0 out_port [4, 0.248807]
00:08:56:000:0 out_port [4, 0.383438]
00:08:57:000:0 out_port [4, 0.504727]
00:08:58:000:0 out_port [4, 0.634392]
00:08:59:000:0 out_port [4, 0.501957]
00:09:00:000:0 out_port [4, 0.623854]
00:09:01:000:0 out_port [4, 0.49273]
00:09:02:000:0 out_port [4, 0.63124]
00:09:03:000:0 out_port [4, 0.741298]
00:09:04:000:0 out_port [4, 0.608808]
00:09:05:000:0 out_port [4, 0.476661]
00:09:06:000:0 out_port [4, 0.59734]
00:09:07:000:0 out_port [4, 0.465366]
00:09:08:000:0 out_port [4, 0.34638]
00:09:09:000:0 out_port [4, 0.225491]
00:09:10:000:0 out_port [4, 0.103465]
00:09:11:000:0 out_port [4, 0.246128]
00:09:12:000:0 out_port [4, 0.38271]
00:09:13:000:0 out_port [4, 0.25531]
00:09:14:000:0 out_port [4, 0.134869]
00:09:15:000:0 out_port [4, 0.0200979]
00:09:16:000:0 out_port [4, 0]
00:09:17:000:0 out_port [4, 0.151571]
00:09:18:000:0 out_port [4, 0.279667]
00:09:19:000:0 out_port [4, 0.148572]
00:09:20:000:0 out_port [4, 0.0318485]
00:09:21:000:0 out_port [4, 0]
00:09:22:000:0 out_port [4, 0.147093]
00:09:23:000:0 out_port [4, 0.273932]
00:09:24:000:0 out_port [4, 0.393815]
00:09:25:000:0 out_port [4, 0.512051]
00:09:26:000:0 out_port [4, 0.386899]
00:09:27:000:0 out_port [4, 0.516621]
00:09:28:000:0 out_port [4, 0.387581]
00:09:29:000:0 out_port [4, 0.267342]
00:09:30:000:0 out_port [4, 0.14752]
00:09:31:000:0 out_port [4, 0.0245052]
00:09:32:000:0 out_port [4, 0.156873]
00:09:33:000:0 out_port [4, 0.304561]
00:09:34:000:0 out_port [4, 0.44501]
00:09:35:000:0 out_port [4, 0.309204]
00:09:36:000:0 out_port [4, 0.444026]
00:09:37:000:0 out_port [4, 0.316589]
00:09:38:000:0 out_port [4, 0.182082]
00:09:39:000:0 out_port [4, 0.06036]
00:09:40:000:0 out_port [4, 0.203983]
00:09:41:000:0 out_port [4, 0.0765923]
00:09:42:000:0 out_port [4, 0.202704]
00:09:43:000:0 out_port [4, 0.356459]
00:09:44:000:0 out_port [4, 0.487791]
00:09:45:000:0 out_port [4, 0.608558]
00:09:46:000:0 out_port [4, 0.727591]
00:09:47:000:0 out_port [4, 0.859868]
00:09:48:000:0 out_port [4, 0.975316]
00:09:49:000:0 out_port [4, 0.817027]
00:09:50:000:0 out_port [4, 0.689769]
00:09:51:000:0 out_port [4, 0.565268]
00:09:52:000:0 out_port [4, 0.700139]
00:09:53:000:0 out_port [4, 0.824745]
00:09:54:000:0 out_port [4, 0.940062]
00:09:55:000:0 out_port [4, 1]
00:09:56:000:0 out_port [4, 1]
00:09:57:000:0 out_port [4, 1]
00:09:58:000:0 out_port [4, 1]
00:09:59:000:0 out_port [4, 0.868893]
00:10:00:000:0 out_port [4, 0.988321]
